Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs ARI,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
vs HOU,4,3,1,0,0,1,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
vs IND,5,3,2,0,0,0,0,0,0,0,0,0.0,0,0,1,K'Waun Williams
vs JAC,1,1,0,0,0,0,0,0,0,1,0,0.0,0,1,2,K'Waun Williams
vs KC,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,2,K'Waun Williams
vs LAC,6,5,1,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
vs LAR,5,3,2,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
vs NYJ,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,1,K'Waun Williams
vs OAK,5,5,0,1,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
vs SEA,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
vs SF,5,2,3,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
vs TEN,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,1,K'Waun Williams
