Close,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
"4th QTR, +/-7",3.0,13,4.3,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Alex Singleton,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Alex Singleton,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,-6,-6.0,0.0,-6,,,,,,,,Baron Browning,5.0,3.0,2.0,1.5,2.0,-3.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Baron Browning,4.0,3.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
"4th QTR, +/-7",0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,1.0,50,50.0,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,8.0,87,10.9,1.0,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Damarri Mathis,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
