Depth Chart,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
As Starter,5.0,34,6.8,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
As Sub,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
As Starter,,0,0.0,0.0,0,,,,,,,,Alex Singleton,8.0,4.0,4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
As Sub,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
As Starter,,-6,-6.0,0.0,1,,,,,,,,Baron Browning,13.0,7.0,6.0,2.5,4.0,2.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
As Sub,,0,0.0,0.0,0,,,,,,,,Baron Browning,11.0,7.0,4.0,2.5,1.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
As Starter,2.0,66,33.0,2.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
As Sub,4.0,43,10.8,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
As Starter,9.0,98,10.9,1.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
As Starter,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,11.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
As Sub,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
As Sub,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
As Starter,,0,0.0,0.0,0,,,,,,,,D.J. Jones,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
As Starter,,0,0.0,0.0,0,,,,,,,,D.J. Jones,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
As Sub,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
