Field Position,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
Own 1-20,1.0,6,6.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Own 21-50,1.0,8,8.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,1.0,2,2.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,2.0,18,9.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Alex Singleton,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Alex Singleton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Baron Browning,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Own 21-50,,-6,-6.0,0.0,-6,,,,,,,,Baron Browning,8.0,5.0,3.0,1.5,2.0,9.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Baron Browning,13.0,8.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Baron Browning,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,1.0,21,21.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Own 21-50,3.0,68,22.7,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,2.0,20,10.0,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Own 1-20,1.0,12,12.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Own 21-50,6.0,82,13.7,0.0,21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,7.0,74,10.6,0.0,25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,3.0,21,7.0,2.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
