Group,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
vs AFC,5.0,34,6.8,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
vs NFC,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
vs Div,5.0,34,6.8,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Alex Singleton,8.0,4.0,4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Alex Singleton,8.0,4.0,4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs AFC,,-6,-6.0,0.0,1,,,,,,,,Baron Browning,20.0,12.0,8.0,4.5,4.0,4.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Baron Browning,4.0,2.0,2.0,0.5,1.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,-6,-6.0,0.0,1,,,,,,,,Baron Browning,13.0,9.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
vs AFC,4.0,43,10.8,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
vs NFC,2.0,66,33.0,2.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
vs Div,2.0,31,15.5,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
vs AFC,12.0,123,10.3,2.0,25,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
vs NFC,5.0,66,13.2,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
vs Div,4.0,32,8.0,1.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,D.J. Jones,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,D.J. Jones,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,D.J. Jones,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,D.J. Jones,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Essang Bassey,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Essang Bassey,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Essang Bassey,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
