Opponent,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
vs MIA,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
vs OAK,5.0,34,6.8,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
vs WAS,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Alex Singleton,8.0,4.0,4.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs ARI,,0,0.0,0.0,0,,,,,,,,Baron Browning,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs BAL,,0,0.0,0.0,0,,,,,,,,Baron Browning,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs CAR,,0,0.0,0.0,0,,,,,,,,Baron Browning,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs IND,,0,0.0,0.0,0,,,,,,,,Baron Browning,5.0,2.0,3.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs KC,,0,0.0,0.0,0,,,,,,,,Baron Browning,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAC,,-6,-6.0,0.0,1,,,,,,,,Baron Browning,6.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
vs LAR,,0,0.0,0.0,0,,,,,,,,Baron Browning,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Baron Browning,6.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SEA,,0,0.0,0.0,0,,,,,,,,Baron Browning,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,2.0,12,6.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
vs OAK,2.0,31,15.5,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
vs WAS,2.0,66,33.0,2.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
vs MIA,8.0,91,11.4,1.0,25,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
vs OAK,4.0,32,8.0,1.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
vs WAS,5.0,66,13.2,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,D.J. Jones,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,D.J. Jones,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,D.J. Jones,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Essang Bassey,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Essang Bassey,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Frank Clark,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,2.0,22,11.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg Dulcich,,,,,,,,,,,,,,,,,,,,,
vs OAK,1.0,0,0.0,0.0,0,0.0,-7.0,-7.0,0.0,-7.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
vs WAS,0.0,5,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
vs OAK,4.0,52,4.0,0.0,11,13.0,5.0,1.3,0.0,7.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
vs WAS,2.0,44,3.7,0.0,15,12.0,14.0,7.0,0.0,9.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
vs MIA,5.0,81,16.2,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
vs WAS,3.0,25,8.3,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
vs HOU,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs IND,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs JAC,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAC,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,11.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NYJ,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SEA,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SF,,1,1.0,0.0,1,,,,,,,,Jonas Griffith,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,5.0,2.0,3.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,4.0,2.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,4.0,1.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,7.0,4.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,8.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Josey Jewell,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Josey Jewell,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Josey Jewell,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,Justin Simmons,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Justin Simmons,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs MIA,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,1,,,,,,,,Kareem Jackson,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
vs WAS,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs ARI,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs HOU,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs IND,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs JAC,,0,0.0,0.0,1,,,,,,,,K'Waun Williams,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
vs KC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
vs LAC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAR,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NYJ,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SEA,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SF,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs TEN,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs ARI,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs HOU,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs IND,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs JAC,,0,0.0,0.0,1,,,,,,,,K'Waun Williams,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
vs KC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
vs LAC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs LAR,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NYJ,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs OAK,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SEA,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs SF,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs TEN,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs OAK,2.0,11,5.5,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
