Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
Ahead,2.0,5,2.5,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Behind,3.0,29,9.7,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Alex Singleton,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Alex Singleton,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Baron Browning,13.0,8.0,5.0,3.5,2.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Baron Browning,6.0,3.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,-6,-6.0,0.0,-6,,,,,,,,Baron Browning,5.0,3.0,2.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Ahead,1.0,16,16.0,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Behind,5.0,93,18.6,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Behind,15.0,172,11.5,2.0,25,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Tied,2.0,17,8.5,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
