Quarter,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,1,1.1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.0,0.9,0.10,0.11,13,13.0,13.1,5,5.0,5.1,61.0,61,61.1,0.00,100.00,1.2,10,10.0,51.0,CMP,ATT,CMP%,RTG
4th,3.0,13,4.3,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,-6,-6.0,0,-6,,,,,,,,Baron Browning,6,4,2,1.5,2,-3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,1.0,50,50.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,3.0,49,16.3,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd,,0,0.0,0,0,,,,,,,,Damarri Mathis,2,2,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,Damarri Mathis,3,3,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,D.J. Jones,3,2,1,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,D.J. Jones,3,2,1,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd,,0,0.0,0,0,,,,,,,,Essang Bassey,2,0,2,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,,,,,,,,,,,,,Frank Clark,,,,,,,,,,,,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,,,,,,,,,,,,,,,,,,,
Quarter,,,,,,,,,,,,,Greg Dulcich,,,,,,,,,,,,REC,,TD,CAR,YDS,TD,LNG,FUM,LST,,,AVG,,,,YDS,AVG,LNG,,,,,,,,,,,,,,,,
Quarter,,,,,,,,,,,,,Jaleel McLaughlin,,,,,,,,,,,,CAR,TD,REC,YDS,TD,LNG,FUM,LST,,,,AVG,,,,,,,YDS,AVG,LNG,,,,,,,,,,,,,
3rd,1.0,16,2.7,0,6,6.0,3.0,3.0,0.0,3.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,4.0,6,1.5,0,5,4.0,18.0,4.5,0.0,9.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,1.0,46,46.0,0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,Jonathan Harris,6,2,4,0.0,1,-1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,Josey Jewell,4,3,1,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,Justin Simmons,5,3,2,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,K'Waun Williams,8,5,3,0.0,1,-1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,K'Waun Williams,8,5,3,0.0,1,-1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,1.0,4,4.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,1.0,4,4.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,1.0,5,5.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,2.0,10,5.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,Matt Henningsen,2,1,1,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,1.0,0,0.0,0,0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,Mike Purcell,3,0,3,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd,1.0,11,11.0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nate Adkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
