Weather,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
81+ F,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
<40 F,,0,0.0,0.0,0,,,,,,,,Baron Browning,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,2.0,66,33.0,2.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
81+ F,5.0,66,13.2,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,D.J. Jones,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Essang Bassey,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,0.0,5,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
81+ F,2.0,44,3.7,0.0,15,12.0,14.0,7.0,0.0,9.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
81+ F,3.0,25,8.3,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,9.0,3.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,8.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Josey Jewell,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Justin Simmons,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
81+ F,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
