Opponent,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs BAL,3,39,13.0,0,19,0,0,0.0,0,0,0,0,Tim Patrick
vs CIN,3,42,14.0,1,25,0,0,0.0,0,0,0,0,Tim Patrick
vs CLE,2,16,8.0,0,9,0,0,0.0,0,0,0,0,Tim Patrick
vs DAL,4,85,21.3,1,44,0,0,0.0,0,0,0,0,Tim Patrick
vs DET,2,21,10.5,0,13,0,0,0.0,0,0,0,0,Tim Patrick
vs JAC,3,37,12.3,1,14,0,0,0.0,0,0,0,0,Tim Patrick
vs KC,7,104,14.9,0,31,0,0,0.0,0,0,0,0,Tim Patrick
vs LAC,2,26,13.0,0,19,0,0,0.0,0,0,0,0,Tim Patrick
vs NYG,4,39,9.8,1,16,0,0,0.0,0,0,0,0,Tim Patrick
vs NYJ,5,98,19.6,0,31,0,0,0.0,0,0,0,0,Tim Patrick
vs OAK,5,60,12.0,1,23,0,0,0.0,0,0,0,0,Tim Patrick
vs PHI,3,14,4.7,0,7,0,0,0.0,0,0,0,0,Tim Patrick
vs PIT,7,89,12.7,0,23,0,0,0.0,0,0,0,0,Tim Patrick
vs WAS,3,64,21.3,0,31,0,0,0.0,0,0,0,0,Tim Patrick
